verbatimIdentification,cleanedTaxonomy,selected_match,scientificName,confidence,taxonRank,taxonID,kingdom,phylum,class,order,family,genus,match_type_debug,nameAccordingTo
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis;Auxis rochei,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis;Auxis rochei,False,"Auxis rochei (Risso, 1810)",100,species,gbif:4286088,Animalia,Chordata,,Perciformes,Scombridae,Auxis,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis;Auxis rochei,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis;Auxis rochei,True,"Auxis rochei (Risso, 1810)",99,species,gbif:4286088,Animalia,Chordata,,Perciformes,Scombridae,Auxis,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis;Auxis thazard,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis;Auxis thazard,False,"Auxis thazard (Lacepède, 1800)",100,species,gbif:4286082,Animalia,Chordata,,Perciformes,Scombridae,Auxis,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis;Auxis thazard,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis;Auxis thazard,True,"Auxis thazard (Lacepède, 1800)",99,species,gbif:4286082,Animalia,Chordata,,Perciformes,Scombridae,Auxis,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis;Auxis thazard,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Auxis;Auxis thazard,False,"Auxis thazard thazard (Lacepède, 1800)",99,subspecies,gbif:6168918,Animalia,Chordata,,Perciformes,Scombridae,Auxis,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber colias,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber colias,True,"Scomber colias Gmelin, 1789",100,species,gbif:2374161,Animalia,Chordata,,Perciformes,Scombridae,Scomber,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber colias,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomber;Scomber colias,False,"Scomber colias Gmelin, 1789",99,species,gbif:2374161,Animalia,Chordata,,Perciformes,Scombridae,Scomber,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomberomorus;Scomberomorus cavalla,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomberomorus;Scomberomorus cavalla,True,"Scomberomorus cavalla (Cuvier, 1829)",100,species,gbif:2374282,Animalia,Chordata,,Perciformes,Scombridae,Scomberomorus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomberomorus;Scomberomorus cavalla,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Scomberomorus;Scomberomorus cavalla,True,"Scomberomorus cavalla (Cuvier, 1829)",99,species,gbif:2374282,Animalia,Chordata,,Perciformes,Scombridae,Scomberomorus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnini,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnini,True,Scombridae,97,family,gbif:8596,Animalia,Chordata,,Perciformes,Scombridae,,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus,Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnus,False,"Thunnus South, 1845",97,genus,gbif:2373932,Animalia,Chordata,,Perciformes,Scombridae,Thunnus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Scombriformes;Stromateidae;Peprilus;Peprilus burti,Eukaryota;Chordata;Actinopteri;Scombriformes;Stromateidae;Peprilus;Peprilus burti,True,"Peprilus burti Fowler, 1944",100,species,gbif:2397707,Animalia,Chordata,,Perciformes,Stromateidae,Peprilus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Scombriformes;Stromateidae;Peprilus;Peprilus burti,Eukaryota;Chordata;Actinopteri;Scombriformes;Stromateidae;Peprilus;Peprilus burti,True,"Peprilus burti Fowler, 1944",99,species,gbif:2397707,Animalia,Chordata,,Perciformes,Stromateidae,Peprilus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Benthodesmus,Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Benthodesmus,False,"Benthodesmus Goode & Bean, 1882",97,genus,gbif:2389329,Animalia,Chordata,,Perciformes,Trichiuridae,Benthodesmus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Benthodesmus;Benthodesmus simonyi,Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Benthodesmus;Benthodesmus simonyi,True,"Benthodesmus simonyi (Steindachner, 1891)",100,species,gbif:2389330,Animalia,Chordata,,Perciformes,Trichiuridae,Benthodesmus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Benthodesmus;Benthodesmus simonyi,Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Benthodesmus;Benthodesmus simonyi,False,"Benthodesmus simonyi (Steindachner, 1891)",99,species,gbif:2389330,Animalia,Chordata,,Perciformes,Trichiuridae,Benthodesmus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Lepidopus;Lepidopus altifrons,Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Lepidopus;Lepidopus altifrons,True,"Lepidopus altifrons Parin & Collette, 1993",100,species,gbif:5210265,Animalia,Chordata,,Perciformes,Trichiuridae,Lepidopus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Lepidopus;Lepidopus altifrons,Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Lepidopus;Lepidopus altifrons,False,"Lepidopus altifrons Parin & Collette, 1993",99,species,gbif:5210265,Animalia,Chordata,,Perciformes,Trichiuridae,Lepidopus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Stomiiformes;Gonostomatidae;Bonapartia;Bonapartia pedaliota,Eukaryota;Chordata;Actinopteri;Stomiiformes;Gonostomatidae;Bonapartia;Bonapartia pedaliota,True,"Bonapartia pedaliota Goode & Bean, 1896",100,species,gbif:5203367,Animalia,Chordata,,Stomiiformes,Gonostomatidae,Bonapartia,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Stomiiformes;Gonostomatidae;Bonapartia;Bonapartia pedaliota,Eukaryota;Chordata;Actinopteri;Stomiiformes;Gonostomatidae;Bonapartia;Bonapartia pedaliota,True,"Bonapartia pedaliota Goode & Bean, 1896",99,species,gbif:5203367,Animalia,Chordata,,Stomiiformes,Gonostomatidae,Bonapartia,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Stomiiformes;Gonostomatidae;Sigmops,Eukaryota;Chordata;Actinopteri;Stomiiformes;Gonostomatidae;Sigmops,False,"Sigmops Gill, 1883",97,genus,gbif:2347420,Animalia,Chordata,,Stomiiformes,Gonostomatidae,Sigmops,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Stomiiformes;Gonostomatidae;Sigmops;Sigmops elongatus,Eukaryota;Chordata;Actinopteri;Stomiiformes;Gonostomatidae;Sigmops;Sigmops elongatus,True,"Sigmops elongatus (Günther, 1878)",100,species,gbif:2347408,Animalia,Chordata,,Stomiiformes,Gonostomatidae,Sigmops,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Stomiiformes;Gonostomatidae;Sigmops;Sigmops elongatus,Eukaryota;Chordata;Actinopteri;Stomiiformes;Gonostomatidae;Sigmops;Sigmops elongatus,True,"Sigmops elongatus (Günther, 1878)",99,species,gbif:2347408,Animalia,Chordata,,Stomiiformes,Gonostomatidae,Sigmops,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Stomiiformes;Phosichthyidae;Vinciguerria,Eukaryota;Chordata;Actinopteri;Stomiiformes;Phosichthyidae;Vinciguerria,True,"Vinciguerria Jordan & Evermann, 1896",97,genus,gbif:2346827,Animalia,Chordata,,Stomiiformes,Phosichthyidae,Vinciguerria,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Stomiiformes;Phosichthyidae;Vinciguerria;Vinciguerria nimbaria,Eukaryota;Chordata;Actinopteri;Stomiiformes;Phosichthyidae;Vinciguerria;Vinciguerria nimbaria,True,"Vinciguerria nimbaria (Jordan & Williams, 1895)",99,species,gbif:2346841,Animalia,Chordata,,Stomiiformes,Phosichthyidae,Vinciguerria,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus,Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus,False,"Maurolicus Cocco, 1838",97,genus,gbif:2346768,Animalia,Chordata,,Stomiiformes,Sternoptychidae,Maurolicus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus weitzmani,Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus weitzmani,True,"Maurolicus weitzmani Parin & Kobyliansky, 1993",100,species,gbif:2347496,Animalia,Chordata,,Stomiiformes,Sternoptychidae,Maurolicus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus weitzmani,Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus weitzmani,True,"Maurolicus weitzmani Parin & Kobyliansky, 1993",99,species,gbif:2347496,Animalia,Chordata,,Stomiiformes,Sternoptychidae,Maurolicus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Polyipnus;Polyipnus asteroides,Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Polyipnus;Polyipnus asteroides,False,"Polyipnus asteroides Schultz, 1938",100,species,gbif:2347522,Animalia,Chordata,,Stomiiformes,Sternoptychidae,Polyipnus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Valenciennellus;Valenciennellus tripunctulatus,Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Valenciennellus;Valenciennellus tripunctulatus,True,"Valenciennellus tripunctulatus (Esmark, 1871)",100,species,gbif:2347601,Animalia,Chordata,,Stomiiformes,Sternoptychidae,Valenciennellus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Valenciennellus;Valenciennellus tripunctulatus,Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Valenciennellus;Valenciennellus tripunctulatus,False,"Valenciennellus tripunctulatus (Esmark, 1871)",99,species,gbif:2347601,Animalia,Chordata,,Stomiiformes,Sternoptychidae,Valenciennellus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Aristostomias;Aristostomias tittmanni,Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Aristostomias;Aristostomias tittmanni,True,"Aristostomias tittmanni Welsh, 1923",100,species,gbif:5203190,Animalia,Chordata,,Stomiiformes,Stomiidae,Aristostomias,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Aristostomias;Aristostomias tittmanni,Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Aristostomias;Aristostomias tittmanni,True,"Aristostomias tittmanni Welsh, 1923",99,species,gbif:5203190,Animalia,Chordata,,Stomiiformes,Stomiidae,Aristostomias,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Bathophilus,Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Bathophilus,False,"Bathophilus Giglioli, 1882",96,genus,gbif:2346956,Animalia,Chordata,,Stomiiformes,Stomiidae,Bathophilus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Chauliodus;Chauliodus sloani,Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Chauliodus;Chauliodus sloani,True,"Chauliodus sloani Bloch & Schneider, 1801",100,species,gbif:5203203,Animalia,Chordata,,Stomiiformes,Stomiidae,Chauliodus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Chauliodus;Chauliodus sloani,Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Chauliodus;Chauliodus sloani,False,"Chauliodus sloani Bloch & Schneider, 1801",99,species,gbif:5203203,Animalia,Chordata,,Stomiiformes,Stomiidae,Chauliodus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Heterophotus;Heterophotus ophistoma,Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Heterophotus;Heterophotus ophistoma,True,"Heterophotus ophistoma Regan & Trewavas, 1929",100,species,gbif:2347368,Animalia,Chordata,,Stomiiformes,Stomiidae,Heterophotus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Heterophotus;Heterophotus ophistoma,Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Heterophotus;Heterophotus ophistoma,True,"Heterophotus ophistoma Regan & Trewavas, 1929",99,species,gbif:2347368,Animalia,Chordata,,Stomiiformes,Stomiidae,Heterophotus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Syngnathiformes;Callionymidae;Synchiropus;Synchiropus goodenbeani,Eukaryota;Chordata;Actinopteri;Syngnathiformes;Callionymidae;Synchiropus;Synchiropus goodenbeani,True,"Synchiropus goodenbeani (Nakabo & Hartel, 1999)",99,species,gbif:5961764,Animalia,Chordata,,Perciformes,Callionymidae,Synchiropus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Syngnathiformes;Centriscidae;Macroramphosus,Eukaryota;Chordata;Actinopteri;Syngnathiformes;Centriscidae;Macroramphosus,False,"Macroramphosus Lacepède, 1803",97,genus,gbif:2333512,Animalia,Chordata,,Syngnathiformes,Centriscidae,Macroramphosus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Bryx;Bryx dunckeri,Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Bryx;Bryx dunckeri,True,"Bryx dunckeri (Metzelaar, 1919)",100,species,gbif:2332869,Animalia,Chordata,,Syngnathiformes,Syngnathidae,Bryx,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Bryx;Bryx dunckeri,Eukaryota;Chordata;Actinopteri;Syngnathiformes;Syngnathidae;Bryx;Bryx dunckeri,True,"Bryx dunckeri (Metzelaar, 1919)",99,species,gbif:2332869,Animalia,Chordata,,Syngnathiformes,Syngnathidae,Bryx,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Balistes;Balistes capriscus,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Balistidae;Balistes;Balistes capriscus,False,"Balistes capriscus Gmelin, 1789",98,species,gbif:2407107,Animalia,Chordata,,Tetraodontiformes,Balistidae,Balistes,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Diodontidae;Chilomycterus;Chilomycterus schoepfii,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Diodontidae;Chilomycterus;Chilomycterus schoepfii,True,"Chilomycterus schoepfii (Walbaum, 1792)",100,species,gbif:2406494,Animalia,Chordata,,Tetraodontiformes,Diodontidae,Chilomycterus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Diodontidae;Chilomycterus;Chilomycterus schoepfii,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Diodontidae;Chilomycterus;Chilomycterus schoepfii,False,"Chilomycterus schoepfii (Walbaum, 1792)",99,species,gbif:2406494,Animalia,Chordata,,Tetraodontiformes,Diodontidae,Chilomycterus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Molidae;Masturus;Masturus lanceolatus,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Molidae;Masturus;Masturus lanceolatus,True,"Masturus lanceolatus (Liénard, 1840)",100,species,gbif:2407925,Animalia,Chordata,,Tetraodontiformes,Molidae,Masturus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Molidae;Masturus;Masturus lanceolatus,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Molidae;Masturus;Masturus lanceolatus,True,"Masturus lanceolatus (Liénard, 1840)",99,species,gbif:2407925,Animalia,Chordata,,Tetraodontiformes,Molidae,Masturus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Canthigaster,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Canthigaster,False,"Canthigaster Swainson, 1839",97,genus,gbif:2407643,Animalia,Chordata,,Tetraodontiformes,Tetraodontidae,Canthigaster,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Canthigaster;Canthigaster rostrata,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Canthigaster;Canthigaster rostrata,True,"Canthigaster rostrata (Bloch, 1786)",100,species,gbif:2407665,Animalia,Chordata,,Tetraodontiformes,Tetraodontidae,Canthigaster,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Canthigaster;Canthigaster rostrata,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Canthigaster;Canthigaster rostrata,True,"Canthigaster rostrata (Bloch, 1786)",99,species,gbif:2407665,Animalia,Chordata,,Tetraodontiformes,Tetraodontidae,Canthigaster,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Lagocephalus;Lagocephalus laevigatus,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Lagocephalus;Lagocephalus laevigatus,False,"Lagocephalus laevigatus (Linnaeus, 1766)",99,species,gbif:2407750,Animalia,Chordata,,Tetraodontiformes,Tetraodontidae,Lagocephalus,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Sphoeroides;Sphoeroides dorsalis,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Sphoeroides;Sphoeroides dorsalis,True,"Sphoeroides dorsalis Longley, 1934",100,species,gbif:2407870,Animalia,Chordata,,Tetraodontiformes,Tetraodontidae,Sphoeroides,GBIF_EXACT,GBIF
Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Sphoeroides;Sphoeroides dorsalis,Eukaryota;Chordata;Actinopteri;Tetraodontiformes;Tetraodontidae;Sphoeroides;Sphoeroides dorsalis,True,"Sphoeroides dorsalis Longley, 1934",99,species,gbif:2407870,Animalia,Chordata,,Tetraodontiformes,Tetraodontidae,Sphoeroides,GBIF_EXACT,GBIF
Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Steno;Steno bredanensis,Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Steno;Steno bredanensis,False,"Steno bredanensis (G.Cuvier, 1828)",99,species,gbif:2440433,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Steno,GBIF_EXACT,GBIF
Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus,Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus,False,"Tursiops truncatus gephyreus Lahille, 1908",99,subspecies,gbif:10681135,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Tursiops,GBIF_EXACT,GBIF
Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus,Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus,False,"Tursiops truncatus truncatus (Montagu, 1821)",99,subspecies,gbif:7194018,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Tursiops,GBIF_EXACT,GBIF
Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus,Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus,False,"Tursiops truncatus (Montagu, 1821)",98,species,gbif:2440447,Animalia,Chordata,Mammalia,Cetacea,Delphinidae,Tursiops,GBIF_EXACT,GBIF
