verbatimIdentification	scientificName	taxonID	kingdom	phylum	class	order	family	genus	taxonRank	confidence	nameAccordingTo	match_type_debug	cleanedTaxonomy	ambiguous
Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus weitzmani	Maurolicus weitzmani Parin & Kobyliansky, 1993	gbif:2347496	Animalia	Chordata		Stomiiformes	Sternoptychidae	Maurolicus	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus weitzmani	True
Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus weitzmani	Maurolicus weitzmani Parin & Kobyliansky, 1993	gbif:2347496	Animalia	Chordata		Stomiiformes	Sternoptychidae	Maurolicus	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus weitzmani	True
Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus weitzmani	Maurolicus weitzmani Parin & Kobyliansky, 1993	gbif:2347496	Animalia	Chordata		Stomiiformes	Sternoptychidae	Maurolicus	species	100	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Stomiiformes;Sternoptychidae;Maurolicus;Maurolicus weitzmani	True
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii	Diaphus dumerilii (Bleeker, 1856)	gbif:2406248	Animalia	Chordata		Myctophiformes	Myctophidae	Diaphus	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii	True
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii	Diaphus dumerilii (Bleeker, 1856)	gbif:2406248	Animalia	Chordata		Myctophiformes	Myctophidae	Diaphus	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii	True
Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii	Diaphus dumerilii (Bleeker, 1856)	gbif:2406248	Animalia	Chordata		Myctophiformes	Myctophidae	Diaphus	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Myctophiformes;Myctophidae;Diaphus;Diaphus dumerilii	True
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnini	Scombridae	gbif:8596	Animalia	Chordata		Perciformes	Scombridae		family	97	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnini	True
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnini	Scombridae	gbif:8596	Animalia	Chordata		Perciformes	Scombridae		family	97	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnini	True
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnini	Scombridae	gbif:8596	Animalia	Chordata		Perciformes	Scombridae		family	97	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae;Thunnini	True
Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata	Argentina striata Goode & Bean, 1896	gbif:5214449	Animalia	Chordata		Osmeriformes	Argentinidae	Argentina	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata	True
Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata	Argentina striata Goode & Bean, 1896	gbif:5214449	Animalia	Chordata		Osmeriformes	Argentinidae	Argentina	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata	True
Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata	Argentina striata Goode & Bean, 1896	gbif:5214449	Animalia	Chordata		Osmeriformes	Argentinidae	Argentina	species	100	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Argentiniformes;Argentinidae;Argentina;Argentina striata	True
Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Heterophotus;Heterophotus ophistoma	Heterophotus ophistoma Regan & Trewavas, 1929	gbif:2347368	Animalia	Chordata		Stomiiformes	Stomiidae	Heterophotus	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Heterophotus;Heterophotus ophistoma	True
Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Heterophotus;Heterophotus ophistoma	Heterophotus ophistoma Regan & Trewavas, 1929	gbif:2347368	Animalia	Chordata		Stomiiformes	Stomiidae	Heterophotus	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Heterophotus;Heterophotus ophistoma	True
Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Heterophotus;Heterophotus ophistoma	Heterophotus ophistoma Regan & Trewavas, 1929	gbif:2347368	Animalia	Chordata		Stomiiformes	Stomiidae	Heterophotus	species	100	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Stomiiformes;Stomiidae;Heterophotus;Heterophotus ophistoma	True
Eukaryota;Chordata;Actinopteri;Scombriformes;Ariommatidae;Ariomma;Ariomma bondi	Ariomma bondi Fowler, 1930	gbif:2399410	Animalia	Chordata		Perciformes	Ariommatidae	Ariomma	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Scombriformes;Ariommatidae;Ariomma;Ariomma bondi	True
Eukaryota;Chordata;Actinopteri;Scombriformes;Ariommatidae;Ariomma;Ariomma bondi	Ariomma bondi Fowler, 1930	gbif:2399410	Animalia	Chordata		Perciformes	Ariommatidae	Ariomma	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Scombriformes;Ariommatidae;Ariomma;Ariomma bondi	True
Eukaryota;Chordata;Actinopteri;Scombriformes;Ariommatidae;Ariomma;Ariomma bondi	Ariomma bondi Fowler, 1930	gbif:2399410	Animalia	Chordata		Perciformes	Ariommatidae	Ariomma	species	100	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Scombriformes;Ariommatidae;Ariomma;Ariomma bondi	True
Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Pristipomoides	Pristipomoides Bleeker, 1852	gbif:2374812	Animalia	Chordata		Perciformes	Lutjanidae	Pristipomoides	genus	97	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Pristipomoides	True
Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Pristipomoides	Pristipomoides Bleeker, 1852	gbif:2374812	Animalia	Chordata		Perciformes	Lutjanidae	Pristipomoides	genus	97	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Pristipomoides	True
Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Pristipomoides	Pristipomoides Bleeker, 1852	gbif:2374812	Animalia	Chordata		Perciformes	Lutjanidae	Pristipomoides	genus	97	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Lutjaniformes;Lutjanidae;Pristipomoides	True
Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Hoplunnis;Hoplunnis tenuis	Hoplunnis tenuis Ginsburg, 1951	gbif:2402939	Animalia	Chordata		Anguilliformes	Nettastomatidae	Hoplunnis	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Hoplunnis;Hoplunnis tenuis	True
Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Hoplunnis;Hoplunnis tenuis	Hoplunnis tenuis Ginsburg, 1951	gbif:2402939	Animalia	Chordata		Anguilliformes	Nettastomatidae	Hoplunnis	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Hoplunnis;Hoplunnis tenuis	True
Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Hoplunnis;Hoplunnis tenuis	Hoplunnis tenuis Ginsburg, 1951	gbif:2402939	Animalia	Chordata		Anguilliformes	Nettastomatidae	Hoplunnis	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Anguilliformes;Nettastomatidae;Hoplunnis;Hoplunnis tenuis	True
Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Verilus	Verilus Poey, 1860	gbif:2381536	Animalia	Chordata		Perciformes	Acropomatidae	Verilus	genus	97	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Verilus	True
Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Verilus	Verilus Poey, 1860	gbif:2381536	Animalia	Chordata		Perciformes	Acropomatidae	Verilus	genus	97	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Verilus	True
Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Verilus	Verilus Poey, 1860	gbif:2381536	Animalia	Chordata		Perciformes	Acropomatidae	Verilus	genus	97	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Verilus	True
Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Rhynchoconger;Rhynchoconger flavus	Rhynchoconger flavus (Goode & Bean, 1896)	gbif:2403429	Animalia	Chordata		Anguilliformes	Congridae	Rhynchoconger	species	100	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Rhynchoconger;Rhynchoconger flavus	True
Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Rhynchoconger;Rhynchoconger flavus	Rhynchoconger flavus (Goode & Bean, 1896)	gbif:2403429	Animalia	Chordata		Anguilliformes	Congridae	Rhynchoconger	species	100	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Rhynchoconger;Rhynchoconger flavus	True
Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Rhynchoconger;Rhynchoconger flavus	Rhynchoconger flavus (Goode & Bean, 1896)	gbif:2403429	Animalia	Chordata		Anguilliformes	Congridae	Rhynchoconger	species	100	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Anguilliformes;Congridae;Rhynchoconger;Rhynchoconger flavus	True
Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus	Tursiops truncatus (Montagu, 1821)	gbif:2440447	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	species	98	GBIF	GBIF_EXACT	Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus	True
Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus	Tursiops truncatus (Montagu, 1821)	gbif:2440447	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	species	98	GBIF	GBIF_EXACT	Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus	True
Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus	Tursiops truncatus truncatus (Montagu, 1821)	gbif:7194018	Animalia	Chordata	Mammalia	Cetacea	Delphinidae	Tursiops	subspecies	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Mammalia;Artiodactyla;Delphinidae;Tursiops;Tursiops truncatus	True
Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Synagrops;Synagrops spinosus	Synagrops spinosa Schultz, 1940	gbif:2381525	Animalia	Chordata		Perciformes	Acropomatidae	Parascombrops	species	100	GBIF	GBIF_FUZZY	Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Synagrops;Synagrops spinosus	True
Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Synagrops;Synagrops spinosus	Synagrops spinosa Schultz, 1940	gbif:2381525	Animalia	Chordata		Perciformes	Acropomatidae	Parascombrops	species	100	GBIF	GBIF_FUZZY	Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Synagrops;Synagrops spinosus	True
Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Synagrops;Synagrops spinosus	Synagrops spinosa Schultz, 1940	gbif:2381525	Animalia	Chordata		Perciformes	Acropomatidae	Parascombrops	species	100	GBIF	GBIF_FUZZY	Eukaryota;Chordata;Actinopteri;Acropomatiformes;Acropomatidae;Synagrops;Synagrops spinosus	True
Eukaryota;Chordata;Actinopteri;Scombriformes;Gempylidae;Neoepinnula;Neoepinnula americana	Neoepinnula americana (Grey, 1953)	gbif:2397763	Animalia	Chordata		Perciformes	Gempylidae	Neoepinnula	species	100	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Scombriformes;Gempylidae;Neoepinnula;Neoepinnula americana	True
Eukaryota;Chordata;Actinopteri;Scombriformes;Gempylidae;Neoepinnula;Neoepinnula americana	Neoepinnula americana (Grey, 1953)	gbif:2397763	Animalia	Chordata		Perciformes	Gempylidae	Neoepinnula	species	100	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Scombriformes;Gempylidae;Neoepinnula;Neoepinnula americana	True
Eukaryota;Chordata;Actinopteri;Scombriformes;Gempylidae;Neoepinnula;Neoepinnula americana	Neoepinnula americana (Grey, 1953)	gbif:2397763	Animalia	Chordata		Perciformes	Gempylidae	Neoepinnula	species	100	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Scombriformes;Gempylidae;Neoepinnula;Neoepinnula americana	True
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae	Scombridae	gbif:8596	Animalia	Chordata		Perciformes	Scombridae		family	97	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae	True
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae	Scombridae	gbif:8596	Animalia	Chordata		Perciformes	Scombridae		family	97	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae	True
Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae	Scombridae	gbif:8596	Animalia	Chordata		Perciformes	Scombridae		family	97	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Scombriformes;Scombridae	True
Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae	Paralepididae	gbif:2964	Animalia	Chordata		Aulopiformes	Paralepididae		family	97	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae	True
Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae	Paralepididae	gbif:2964	Animalia	Chordata		Aulopiformes	Paralepididae		family	97	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae	True
Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae	Paralepididae	gbif:2964	Animalia	Chordata		Aulopiformes	Paralepididae		family	97	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Aulopiformes;Paralepididae	True
Eukaryota;Chordata;Actinopteri;Perciformes;Bembropidae;Bembrops;Bembrops anatirostris	Bembrops anatirostris Ginsburg, 1955	gbif:2389185	Animalia	Chordata		Perciformes	Percophidae	Bembrops	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Perciformes;Bembropidae;Bembrops;Bembrops anatirostris	True
Eukaryota;Chordata;Actinopteri;Perciformes;Bembropidae;Bembrops;Bembrops anatirostris	Bembrops anatirostris Ginsburg, 1955	gbif:2389185	Animalia	Chordata		Perciformes	Percophidae	Bembrops	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Perciformes;Bembropidae;Bembrops;Bembrops anatirostris	True
Eukaryota;Chordata;Actinopteri;Perciformes;Bembropidae;Bembrops;Bembrops anatirostris	Bembrops anatirostris Ginsburg, 1955	gbif:2389185	Animalia	Chordata		Perciformes	Percophidae	Bembrops	species	100	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Perciformes;Bembropidae;Bembrops;Bembrops anatirostris	True
Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Lepidopus;Lepidopus altifrons	Lepidopus altifrons Parin & Collette, 1993	gbif:5210265	Animalia	Chordata		Perciformes	Trichiuridae	Lepidopus	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Lepidopus;Lepidopus altifrons	True
Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Lepidopus;Lepidopus altifrons	Lepidopus altifrons Parin & Collette, 1993	gbif:5210265	Animalia	Chordata		Perciformes	Trichiuridae	Lepidopus	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Lepidopus;Lepidopus altifrons	True
Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Lepidopus;Lepidopus altifrons	Lepidopus altifrons Parin & Collette, 1993	gbif:5210265	Animalia	Chordata		Perciformes	Trichiuridae	Lepidopus	species	100	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Scombriformes;Trichiuridae;Lepidopus;Lepidopus altifrons	True
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx crysos	Caranx crysos (Mitchill, 1815)	gbif:2390762	Animalia	Chordata		Perciformes	Carangidae	Caranx	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx crysos	True
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx crysos	Caranx crysos (Mitchill, 1815)	gbif:2390762	Animalia	Chordata		Perciformes	Carangidae	Caranx	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx crysos	True
Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx crysos	Caranx crysos (Mitchill, 1815)	gbif:2390762	Animalia	Chordata		Perciformes	Carangidae	Caranx	species	99	GBIF	GBIF_EXACT	Eukaryota;Chordata;Actinopteri;Carangiformes;Carangidae;Caranx;Caranx crysos	True
