# requirement_level_code	M	M	M	M	R	R	R	R	O	O	R	R	R	R	R	R					
# section	PCR	PCR	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Library preparation sequencing	Bioinformatics					
samp_name	assay_name	pcr_plate_id	lib_id	seq_run_id	lib_conc	lib_conc_unit	lib_conc_meth	phix_perc	mid_forward	mid_reverse	filename	filename2	checksum_filename	checksum_filename2	associatedSequences	input_read_count					
EX2107_D01_01W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D1-01_S1_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D1-01_S1_L001_R1_001.fastq.gz	18S-EX2107D1-01_S1_L001_R2_001.fastq.gz	ed08d22bcf9d76327f2d60c85f93c454	ca881cff4725a51451c9689e6dbe14f2		100215					
EX2107_D01_02W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D1-02_S2_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D1-02_S2_L001_R1_001.fastq.gz	18S-EX2107D1-02_S2_L001_R2_001.fastq.gz	5d5f0fc74288f5048b3111709791dcd3	8cdaaa859f687616c1cdbc6f940064e8		12621					
EX2107_D01_06W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D1-06_S3_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D1-06_S3_L001_R1_001.fastq.gz	18S-EX2107D1-06_S3_L001_R2_001.fastq.gz	7aea11d84cd0988207fc9c550139f41b	b540dc64df1e353b2bf676e7b1900072		114232					
EX2107_D01_11W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D1-11_S4_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D1-11_S4_L001_R1_001.fastq.gz	18S-EX2107D1-11_S4_L001_R2_001.fastq.gz	783cfda8597da36f7bfa9518da4cd359	817b17bb4f0adc7df62f36c64a553db3		95764					
EX2107_D01_13W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D1-13_S5_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D1-13_S5_L001_R1_001.fastq.gz	18S-EX2107D1-13_S5_L001_R2_001.fastq.gz	84289f6e3b8459ef06e08534f0f4ea40	69c8c90d12efd89745384a140c2c7ae7		37748					
EX2107_D01_BLW	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D1-BLANK_S6_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D1-BLANK_S6_L001_R1_001.fastq.gz	18S-EX2107D1-BLANK_S6_L001_R2_001.fastq.gz	d9cd9cb87b2518d5946d0c8572fd70ce	a5a7bfb94768c473d094698ac493a5a3		32817					
EX2107_D03_01W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D3-01_S7_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D3-01_S7_L001_R1_001.fastq.gz	18S-EX2107D3-01_S7_L001_R2_001.fastq.gz	845eccca67c70686e4d51242f176e308	931eb49711f7cad8bba6284c5442c13a		110661					
EX2107_D03_02W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D3-02_S8_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D3-02_S8_L001_R1_001.fastq.gz	18S-EX2107D3-02_S8_L001_R2_001.fastq.gz	c9d93e69bd30155e5a16e08a4fcf2684	1dea3964e3f59ee75c4dd0d03dded01e		24977					
EX2107_D03_03W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D3-03_S9_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D3-03_S9_L001_R1_001.fastq.gz	18S-EX2107D3-03_S9_L001_R2_001.fastq.gz	13e42b2e1a04d6814b376fd9e53d2097	a64b6996ff2754ac08b095b4de18a1a3		51374					
EX2107_D03_06W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D3-06_S10_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D3-06_S10_L001_R1_001.fastq.gz	18S-EX2107D3-06_S10_L001_R2_001.fastq.gz	31c334d764078a8f351c0dd662030b70	d7b7a3837d3ec2606b527e53e6f2c3be		45823					
EX2107_D03_BLW	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D3-BLANK_S11_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D3-BLANK_S11_L001_R1_001.fastq.gz	18S-EX2107D3-BLANK_S11_L001_R2_001.fastq.gz	1a45dcff26a5bc30379e34c97d9cef97	0f795e5f88310bb4d6f0ae87764f9c61		28					
EX2107_D04_01W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D4-01_S12_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D4-01_S12_L001_R1_001.fastq.gz	18S-EX2107D4-01_S12_L001_R2_001.fastq.gz	d902a9466df581e8cdfb763e45315765	db9936aed407d8ac7b06fd7078e50f1c		27263					
EX2107_D04_BLW	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D4-BLANK_S13_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D4-BLANK_S13_L001_R1_001.fastq.gz	18S-EX2107D4-BLANK_S13_L001_R2_001.fastq.gz	0a2d4ad4f6302b6b8dd8d8d99287e6a5	f08a7e46ebe5a1bd98a1f5ac281878f0		1529					
EX2107_D05_01W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D5-01_S14_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D5-01_S14_L001_R1_001.fastq.gz	18S-EX2107D5-01_S14_L001_R2_001.fastq.gz	207ebe0286b0b40c77a62f65683d7fae	6cc5f2c5df8615cedb1aef7b2e2fe2dd		98636					
EX2107_D05_02W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D5-02_S15_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D5-02_S15_L001_R1_001.fastq.gz	18S-EX2107D5-02_S15_L001_R2_001.fastq.gz	66ba61db57b856b7526edb3b941e9391	fcf24badc60597f15162275277bcbfee		89916					
EX2107_D05_07W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D5-07_S16_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D5-07_S16_L001_R1_001.fastq.gz	18S-EX2107D5-07_S16_L001_R2_001.fastq.gz	82d34c169f3fefbc5a0889ec08afaeb0	c13f4aadd87d6c86aa96ae83e54942f3		131616					
EX2107_D05_09W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D5-09_S17_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D5-09_S17_L001_R1_001.fastq.gz	18S-EX2107D5-09_S17_L001_R2_001.fastq.gz	a22af96fbacbf9255441acdc1593150c	db03f3bd4f2c801236772f92234b2cbb		110742					
EX2107_D05_10W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D5-10_S18_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D5-10_S18_L001_R1_001.fastq.gz	18S-EX2107D5-10_S18_L001_R2_001.fastq.gz	b7785b1736f019be57193de1988347f6	93bb5d80567bb87bbf4410c3175aed87		104373					
EX2107_D05_BLW	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D5-BLANK_S19_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D5-BLANK_S19_L001_R1_001.fastq.gz	18S-EX2107D5-BLANK_S19_L001_R2_001.fastq.gz	73f278baae6b7f41d96ee10f35e653fb	c58bb0df133dedbcf017a1f0eee6e2ef		105500					
EX2107_D06_01W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D6-01_S20_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D6-01_S20_L001_R1_001.fastq.gz	18S-EX2107D6-01_S20_L001_R2_001.fastq.gz	8b98395b4721f1d5384dabdbb42a7653	6291424884013c1b66109429cf1353d5		93580					
EX2107_D06_02W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D6-02_S21_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D6-02_S21_L001_R1_001.fastq.gz	18S-EX2107D6-02_S21_L001_R2_001.fastq.gz	e3d66aa2d3b33f92fffb0de410b4e71d	7b3bb55a03581099136a41978bb32db0		75753					
EX2107_D06_05W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D6-05_S22_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D6-05_S22_L001_R1_001.fastq.gz	18S-EX2107D6-05_S22_L001_R2_001.fastq.gz	8e1403de29b4461f4de6cd121c363459	56ebf18b0fd2715e2f5fa2a63ecf9001		88957					
EX2107_D06_07W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D6-07_S23_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D6-07_S23_L001_R1_001.fastq.gz	18S-EX2107D6-07_S23_L001_R2_001.fastq.gz	2cefaa004b045274b68035daa9739043	df2c6944830aa9464158a2e4d93c8e3f		48723					
EX2107_D06_08W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D6-08_S24_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D6-08_S24_L001_R1_001.fastq.gz	18S-EX2107D6-08_S24_L001_R2_001.fastq.gz	957dbd54d89b01a513853a37e5f0c899	253dcd0da248c85f5916720901a11860		61728					
EX2107_D06_BLW	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D6-BLANK_S25_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D6-BLANK_S25_L001_R1_001.fastq.gz	18S-EX2107D6-BLANK_S25_L001_R2_001.fastq.gz	cfb7acf27d6df30d11b0f3c17bad3f4b	c98ac8aea97043650bdff8c7fb10416f		135060					
EX2107_D07_01W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D7-01_S26_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D7-01_S26_L001_R1_001.fastq.gz	18S-EX2107D7-01_S26_L001_R2_001.fastq.gz	22a432fabd70fe5f535ea6daaf285305	559fafff73af67259b73760cd1625318		155039					
EX2107_D07_02W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D7-02_S27_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D7-02_S27_L001_R1_001.fastq.gz	18S-EX2107D7-02_S27_L001_R2_001.fastq.gz	183ec80b4539ed2b53cb62bbf357f1e9	458e33f18ab175c458d1b5d6c8985a57		127586					
EX2107_D07_03W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D7-03_S28_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D7-03_S28_L001_R1_001.fastq.gz	18S-EX2107D7-03_S28_L001_R2_001.fastq.gz	84407dffbfe7bd45a4607df02750a682	f25fbd7c9fc111f22743b34a726fb7cd		163121					
EX2107_D07_04W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D7-04_S29_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D7-04_S29_L001_R1_001.fastq.gz	18S-EX2107D7-04_S29_L001_R2_001.fastq.gz	2eb293ade8a9e6bed4f364b263ee9150	922a0128dab13d9c1c9224bf7bad6b7b		178500					
EX2107_D07_05W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D7-05_S30_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D7-05_S30_L001_R1_001.fastq.gz	18S-EX2107D7-05_S30_L001_R2_001.fastq.gz	131be1a2bf6fdc723c39c8ec589fc467	1879012fb48f998a43721cab56a82a31		95058					
EX2107_D07_BLW	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D7-BLANK_S41_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D7-BLANK_S41_L001_R1_001.fastq.gz	18S-EX2107D7-BLANK_S41_L001_R2_001.fastq.gz	da9ba59eb84703aacbf13771caaac51c	32888860df792e544cd323785ce47a9d		83111					
EX2107_D08_01W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D8-01_S42_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D8-01_S42_L001_R1_001.fastq.gz	18S-EX2107D8-01_S42_L001_R2_001.fastq.gz	455318a15790e72eb96dd1a09ab5a635	456dbbd03793718931684c84fd088574		166368					
EX2107_D08_02W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D8-02_S43_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D8-02_S43_L001_R1_001.fastq.gz	18S-EX2107D8-02_S43_L001_R2_001.fastq.gz	fb4a3a3c3dd61f87f9aae0f519541e53	316bb4022bd787850754f42572dee6cc		269850					
EX2107_D08_05W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D8-05_S44_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D8-05_S44_L001_R1_001.fastq.gz	18S-EX2107D8-05_S44_L001_R2_001.fastq.gz	18d9ebbd1517acf5a5c9432839dd5b75	67df8ca6152484ec8b17d653c081e2ff		180760					
EX2107_D08_09W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D8-09_S45_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D8-09_S45_L001_R1_001.fastq.gz	18S-EX2107D8-09_S45_L001_R2_001.fastq.gz	f45692b37668d9bfeb2c447bd2639aa9	a6d0c586a513e72630bac41de3d6b658		225174					
EX2107_D08_10W	Eukarya-18S-V4-Stoeck-Piredda		18S-EX2107D8-10_S46_L001	OKEX2107part-OKEX2205part_ROV-D2							18S-EX2107D8-10_S46_L001_R1_001.fastq.gz	18S-EX2107D8-10_S46_L001_R2_001.fastq.gz	59caba6df966fe39bb5ccacb0c1b9d8f	74041f5e7f7231a91294f97cd57a53c0		171289					
EX2107_D08_BLW	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D08_Blank_18S_S250	OKEX2107part							EX2107_D08_Blank_18S_S250_R1_001.fastq.gz	EX2107_D08_Blank_18S_S250_R2_001.fastq.gz	c3c75ac086a550f474da31f651a72d33	5ca1ad0d0d9ddcc26e36ed7819c21297		174287					
EX2107_D09_01W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D09_01_18S_S251	OKEX2107part							EX2107_D09_01_18S_S251_R1_001.fastq.gz	EX2107_D09_01_18S_S251_R2_001.fastq.gz	df0d8d233e33aebafd88453ccc653eb2	2e074032d637d86c0623fad6b26f50a1		252257					
EX2107_D09_02W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D09_02_18S_S252	OKEX2107part							EX2107_D09_02_18S_S252_R1_001.fastq.gz	EX2107_D09_02_18S_S252_R2_001.fastq.gz	43ee36a55489a24b4b0d7ecacf2f9c39	469973b29681e41ec0b770432b2cdd8c		268680					
EX2107_D09_04W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D09_03_18S_S253	OKEX2107part							EX2107_D09_03_18S_S253_R1_001.fastq.gz	EX2107_D09_03_18S_S253_R2_001.fastq.gz	fb487c618826a777f66953bb559ff006	7fb69ff68e2833d8339dff1adbbf090e		371437					
EX2107_D09_05W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D09_04_18S_S254	OKEX2107part							EX2107_D09_04_18S_S254_R1_001.fastq.gz	EX2107_D09_04_18S_S254_R2_001.fastq.gz	fb2db247dc7ddef72ac9489f722530b0	489c5e57543ba81d86ac0a57ae4c202e		64370					
EX2107_D09_07W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D09_05_18S_S255	OKEX2107part							EX2107_D09_05_18S_S255_R1_001.fastq.gz	EX2107_D09_05_18S_S255_R2_001.fastq.gz	93780a1a459de28c524a9ea81d22819a	1c9c0a0f2f50a78dde97ca8fc663f85d		16137					
EX2107_D09_BLW	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D09_Blank_18S_S256	OKEX2107part							EX2107_D09_Blank_18S_S256_R1_001.fastq.gz	EX2107_D09_Blank_18S_S256_R2_001.fastq.gz	ec369b0127f5e0dad4364f153718b88b	8e05362b8826e245efc000c551cf510e		109624					
EX2107_D10_01W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D10_01_18S_S257	OKEX2107part							EX2107_D10_01_18S_S257_R1_001.fastq.gz	EX2107_D10_01_18S_S257_R2_001.fastq.gz	7daccee8d73928c910a07eb9a693969c	89488f46e6807ea199e14be818d7282a		14871					
EX2107_D10_02W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D10_02_18S_S258	OKEX2107part							EX2107_D10_02_18S_S258_R1_001.fastq.gz	EX2107_D10_02_18S_S258_R2_001.fastq.gz	348fae7bc6a13b22e7f015c01b2e4b47	d2e6ea58ed08ce4dda6e22d8823537fe		98509					
EX2107_D10_04W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D10_03_18S_S259	OKEX2107part							EX2107_D10_03_18S_S259_R1_001.fastq.gz	EX2107_D10_03_18S_S259_R2_001.fastq.gz	c7f3d48d68902c02f22a12c0f05b923d	cb2f6958e57975ca67a6c30b4078ee19		34955					
EX2107_D10_08W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D10_04_18S_S260	OKEX2107part							EX2107_D10_04_18S_S260_R1_001.fastq.gz	EX2107_D10_04_18S_S260_R2_001.fastq.gz	d280752186766a5ab89a0b7a28c9f5bb	3b8c6c0823d05ba50e1472332a026f8c		56617					
EX2107_D10_10W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D10_05_18S_S261	OKEX2107part							EX2107_D10_05_18S_S261_R1_001.fastq.gz	EX2107_D10_05_18S_S261_R2_001.fastq.gz	c43a51d540b2306481536c2354768564	913a58f63323e5d190981e835114002a		13269					
EX2107_D10_BLW	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D10_Blank_18S_S262	OKEX2107part							EX2107_D10_Blank_18S_S262_R1_001.fastq.gz	EX2107_D10_Blank_18S_S262_R2_001.fastq.gz	a5b2c128b457323a5fc21eca055005fe	ae08240fdabd95cbf3cd2dca9fce9b38		797					
EX2107_D11_01W_A	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D11_01a_18S_S263	OKEX2107part							EX2107_D11_01a_18S_S263_R1_001.fastq.gz	EX2107_D11_01a_18S_S263_R2_001.fastq.gz	68041ea64422409475d25e508a2bf84d	274d71446caf69452753eeae5023604d		41508					
EX2107_D11_01W_B	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D11_01b_18S_S300	OKEX2107part							EX2107_D11_01b_18S_S300_R1_001.fastq.gz	EX2107_D11_01b_18S_S300_R2_001.fastq.gz	bb388a4811040780aaa2fc15e0b252e3	b972bef94cfcb5a9248af18ac800b8bb		29822					
EX2107_D11_02W_A	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D11_02a_18S_S264	OKEX2107part							EX2107_D11_02a_18S_S264_R1_001.fastq.gz	EX2107_D11_02a_18S_S264_R2_001.fastq.gz	f8a8abfca942f7a1543422500c1fb1f9	3732cc1b98c4934672e903b002f223d9		172987					
EX2107_D11_02W_B	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D11_02b_18S_S301	OKEX2107part							EX2107_D11_02b_18S_S301_R1_001.fastq.gz	EX2107_D11_02b_18S_S301_R2_001.fastq.gz	e859c119522e96d43de697a3a8a5dab6	d6474513729715efd633998e187df400		66493					
EX2107_D11_05W_A	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D11_03a_18S_S265	OKEX2107part							EX2107_D11_03a_18S_S265_R1_001.fastq.gz	EX2107_D11_03a_18S_S265_R2_001.fastq.gz	d0acdb50922310dd9ca592ddbe331a69	90e25c306164aee7be955741c64e0bac		76037					
EX2107_D11_05W_B	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D11_03b_18S_S302	OKEX2107part							EX2107_D11_03b_18S_S302_R1_001.fastq.gz	EX2107_D11_03b_18S_S302_R2_001.fastq.gz	314fc0169317fe9086f82b92168ce2b3	1c346d58f54a7729aa8fc4b7e7b6a41f		113833					
EX2107_D11_10W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D11_04_18S_S266	OKEX2107part							EX2107_D11_04_18S_S266_R1_001.fastq.gz	EX2107_D11_04_18S_S266_R2_001.fastq.gz	838d979cfceca544e48c1a073e59090d	cc5a14d7c39ec51b8efc6733e82a7057		249634					
EX2107_D11_14W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D11_05_18S_S267	OKEX2107part							EX2107_D11_05_18S_S267_R1_001.fastq.gz	EX2107_D11_05_18S_S267_R2_001.fastq.gz	f09c99eea8990fd39db57ac886f81681	cab3cf40f7eefe173e21caa702591965		55727					
EX2107_D11_BLW	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D11_Blank_18S_S268	OKEX2107part							EX2107_D11_Blank_18S_S268_R1_001.fastq.gz	EX2107_D11_Blank_18S_S268_R2_001.fastq.gz	baebb4ac9a189707101adad1e2c38d1d	77300de185e287bc9b9a67b02a24f727		197272					
EX2107_D12_01W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D12_01_18S_S269	OKEX2107part							EX2107_D12_01_18S_S269_R1_001.fastq.gz	EX2107_D12_01_18S_S269_R2_001.fastq.gz	580ae0cb9dcf04d5c15f9d27ffde8466	ea9ddd8f2e0e8d578c0b90313b86f480		245482					
EX2107_D12_02W	Eukarya-18S-V4-Stoeck-Piredda		EX2107_D12_02_18S_S270	OKEX2107part							EX2107_D12_02_18S_S270_R1_001.fastq.gz	EX2107_D12_02_18S_S270_R2_001.fastq.gz	3d1e9cb659eede1b5e073cea3a5a9491	29bc6c25edac9208230cbfc7edd4d66f		468401					
